City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
344,vorotynsk,54.4283,36.0465,287.55,83,6,2.8,RU,1693453747
345,livadiya,42.8692,132.6764,295.32,85,100,1.61,RU,1693453748
346,santa maria,-29.6842,-53.8069,284.76,94,0,1.03,BR,1693453527
347,tateyama,34.9833,139.8667,301.27,75,100,5.46,JP,1693453748
348,vologda,59.2187,39.8886,286.19,76,69,2.46,RU,1693453749
349,jumla,29.2747,82.1838,295.86,63,0,2.15,NP,1693453749
350,tshabong,-26.05,22.45,285.04,47,5,5.81,BW,1693453749
351,iskateley,67.6803,53.1512,283.96,73,43,2.25,RU,1693453749
352,perros-guirec,48.8145,-3.4396,289.54,95,100,0.45,FR,1693453750
353,celestun,20.8667,-90.4,301.1,81,25,1.68,MX,1693453750
354,harar,9.3094,42.1258,287.69,85,57,2.07,ET,1693453751
355,thoothukudi,8.8054,78.1453,302.31,70,20,2.57,IN,1693453751
356,saint-philippe,-21.3585,55.7679,290.99,69,63,4.09,RE,1693453474
357,ugoofaaru,5.6667,73.0,299.87,82,100,7.84,MV,1693453751
358,nagato,34.3833,131.2,299.83,82,75,11.6,JP,1693453752
359,buka,40.8108,69.1986,296.0,51,57,2.14,UZ,1693453752
360,weno,7.4515,151.8468,305.12,79,100,3.6,FM,1693453752
